johnson,tavares
oliver,matthews
sanjeev,crosby
mathew,elias pettersson
farzan,keller
christian,hintz
clif,mackinnon
austin,draisaitl
lawrence,erik karlsson
jonathan,mcdavid
norman,tage thompson
kenneth,pastrnak
johnson,guentzel
oliver,point
sanjeev,stamkos
mathew,william nylander
farzan,dubois
christian,heiskanen
clif,matthew tkachuk
austin,jason robertson
lawrence,dahlin
jonathan,meier
norman,ovechkin
kenneth,brady tkachuk
johnson,sorokin
oliver,marner
sanjeev,debrincat
mathew,scheifele
farzan,malkin
christian,hischier
clif,zibanejad
austin,nugent-hopkins
lawrence,barkov
jonathan,j t miller
norman,kaprizov
kenneth,kucherov
johnson,andrei svechnikov
oliver,panarin
sanjeev,kyrou
mathew,vasilevskiy
farzan,cozens
christian,tuch
clif,kyle connor
austin,dougie hamilton
lawrence,sebastian aho
jonathan,stutzle
norman,georgiev
kenneth,jack hughes
johnson,beniers
oliver,saros
sanjeev,shesterkin
mathew,elias lindholm
farzan,barzal
christian,boldy
clif,hellebuyck
austin,ullmark
lawrence,johnny gaudreau
jonathan,hyman
norman,josi
kenneth,larkin
johnson,caufield
oliver,jack eichel
sanjeev,fox
mathew,huberdeau
farzan,rielly
christian,bouchard
clif,bratt
austin,seider
lawrence,quinn hughes
jonathan,makar
norman,rantanen
kenneth,oettinger
johnson,
oliver,
sanjeev,
mathew,
christian,
farzan,
clif,
sanjeev,
norman,
jonathan,
norman,
oliver,
johnson,
oliver,
sanjeev,
mathew,
farzan,
christian,
oliver,
austin,
lawrence,
clif,
clif,
kenneth,
johnson,
oliver,
sanjeev,
mathew,
christian,
farzan,
kenneth,
oliver,
norman,
jonathan,
johnson,
clif,
johnson,
oliver,
sanjeev,
mathew,
farzan,
christian,
clif,
austin,
norman,
clif,
christian,
farzan,
lawrence,
kenneth,
johnson,
oliver,
farzan,
christian,
sanjeev,
mathew,
clif,
oliver,
austin,
lawrence,
jonathan,
norman,
clif,
johnson,
christian,
farzan,
oliver,
sanjeev,
kenneth,
clif,
austin,
kenneth,
jonathan,
norman,
kenneth,
johnson,
farzan,
christian,
austin,
clif,
lawrence,
mathew,
clif,
clif,
jonathan,
norman,
kenneth,
johnson,
christian,
farzan,
oliver,
sanjeev,
oliver,
oliver,
oliver,
lawrence,
sanjeev,
norman,
sanjeev,
sanjeev,
farzan,
christian,
sanjeev,
sanjeev,
austin,
norman,
christian,
farzan,
johnson,
mathew,
mathew,
mathew,
farzan,
christian,
lawrence,
kenneth,
jonathan,
kenneth,
johnson,
austin,
austin,
lawrence,
jonathan,
austin,
christian,
farzan,
kenneth,
johnson,
austin,
mathew,
austin,
jonathan,
jonathan,
mathew,
kenneth,
mathew,
farzan,
christian,
jonathan,
lawrence,
jonathan,
norman,
johnson,
jonathan,
norman,
norman,
lawrence,
lawrence,
johnson,
kenneth,
austin,
lawrence,
clif,
mathew,
lawrence,
jonathan,
norman,
clif,
kenneth,
kenneth,
austin,
mathew,
norman,
austin,
lawrence,
jonathan,
sanjeev,
lawrence,
